id;code;name;description;object_type;last_change;seq;status;quantity;valid_from;valid_until
1;windy;fort;../fake-data/blob/hipster.txt;REPORT;2025-04-28T10:34:32;31271;ACTIVE;8250.57;2025-04-29T04:45:35;2025-04-28T22:30:52
2;because whose;edge label honored;../fake-data/blob/hipster.txt;ENTITY;2025-04-29T02:03:49;11777;NOT_ACTIVE;18989.56;2025-04-28T06:57:03;2025-04-29T05:53:10
3;clueless;focalise lend object;../fake-data/blob/hipster.txt;ENTITY;2025-04-28T17:26:03;4109;ACTIVE;22631.04;2025-04-28T08:52:43;2025-04-28T20:10:06
4;uselessly;indeed anti;../fake-data/blob/hipster.txt;ENTITY;2025-04-28T20:51:32;28906;NOT_ACTIVE;32276.51;2025-04-28T07:05:45;2025-04-28T21:19:14
5;ah for;nor;../fake-data/blob/hipster.txt;ENTITY;2025-04-28T22:49:39;5486;NOT_ACTIVE;356.03;2025-04-28T14:17:18;2025-04-29T01:46:57
6;foolishly why;down fooey;../fake-data/blob/hipster.txt;ENTITY;2025-04-28T23:46:29;30124;ACTIVE;640.15;2025-04-29T04:12:43;2025-04-28T09:56:47
7;since tribe surge;ack inside mountain;../fake-data/blob/hipster.txt;REPORT;2025-04-29T03:45:23;22076;NOT_ACTIVE;4919.97;2025-04-28T19:25:03;2025-04-29T02:57:59
8;valuable sandy monthly;though a lock;../fake-data/blob/hipster.txt;REPORT;2025-04-28T13:29:49;25125;NOT_ACTIVE;970.29;2025-04-28T08:24:33;2025-04-28T18:30:21
9;squirm yippee plan;hmph meager;../fake-data/blob/hipster.txt;REPORT;2025-04-29T01:18:37;29734;NOT_ACTIVE;1197.19;2025-04-28T16:20:46;2025-04-29T04:20:23
10;now;informal incidentally darling;../fake-data/blob/hipster.txt;FORM;2025-04-28T21:51:01;28973;ACTIVE;6209.25;2025-04-28T09:59:42;2025-04-29T01:27:32
