id;code;name;description;seq;status;valid_from;valid_until
1;mathematics;beyond flood exploration;../fake-data/blob/hipster.txt;17656;NOT_ACTIVE;2025-04-28T18:39:41;2025-04-28T17:39:07
2;infinite instead;reel;../fake-data/blob/hipster.txt;12121;NOT_ACTIVE;2025-04-28T10:55:37;2025-04-28T12:30:09
3;cop;yum although;../fake-data/blob/hipster.txt;24270;NOT_ACTIVE;2025-04-28T08:03:27;2025-04-28T07:00:22
4;advanced;bravely;../fake-data/blob/hipster.txt;8787;NOT_ACTIVE;2025-04-28T06:08:35;2025-04-28T09:42:51
5;puff lest carnival;toward hollow;../fake-data/blob/hipster.txt;30371;NOT_ACTIVE;2025-04-29T00:32:04;2025-04-29T03:34:41
6;following whoever warm;cleverly because fake;../fake-data/blob/hipster.txt;28160;ACTIVE;2025-04-28T06:22:33;2025-04-28T19:25:10
7;exempt;gripper;../fake-data/blob/hipster.txt;16996;NOT_ACTIVE;2025-04-28T15:06:10;2025-04-28T16:30:47
8;for including apropos;drat whether woot;../fake-data/blob/hipster.txt;31829;ACTIVE;2025-04-28T18:39:36;2025-04-29T02:45:33
9;and;unhealthy potentially unlined;../fake-data/blob/hipster.txt;23417;NOT_ACTIVE;2025-04-29T04:04:46;2025-04-28T11:10:20
10;baritone;over;../fake-data/blob/hipster.txt;7691;NOT_ACTIVE;2025-04-28T22:32:28;2025-04-29T03:16:26
